Mes,Periodo,IDEAC,PIB,Riesgo_Pais,Tasa_Desempleo,IPCO,Oil,TAR,CreditoVivienda,SalarioReal,IPC,CreditoProductivo,CreditoMicro
4,2012,149.856589117656,16072842,792,5.19982136402018,236.29,113.67,8.17,NA,312.2623291015625,92.95158386230469,NA,NA
4,2013,150.07224428164,16802240,647,4.88563705624644,240.39,98.85,8.17,NA,359.5077819824219,95.770050048828125,NA,NA
4,2014,166.879865978344,17494063,361,5.71570420823629,237.19,104.87,8.17,NA,398.1891174316406,98.86451721191406,NA,NA
4,2015,161.426695072863,17537769,672,5.57574089220953,244.48,57.54,8.09,NA,413.90167236328125,103.13627624511719,NA,NA
4,2016,147.442079914765,17328097,941,6.67614951464247,236.18,40.75,9.03,43.309999999999995,434.7254638671875,104.97454833984375,38,238.94000244140625
4,2017,157.259319655118,17685968,667,5.77761812941922,236.7,52.16,8.13,67.00378139000003,451.5033874511719,106.11676788330078,87.7375259399414,253.59262084960937
4,2018,161.854715952723,17943194,667,5.21242315176882,236.99,68.79,7.63,95.77497202,482.129638671875,105.28585815429687,124.97059631347656,325.58331298828125
4,2019,162.35597068776,18009165,560,5.57375897387969,242.51,68.58,8.62,96.38194916,501.4056396484375,105.48843383789062,106.09363555908203,329.8110046386719
5,2012,150.113330246288,16072842,948,4.112605598109653,236.33,104.09,8.17,NA,312.8694763183594,92.771209716796875,NA,NA
5,2013,150.587321616107,16802240,626,3.913723005513209,238.49,99.37,8.17,NA,360.2928466796875,95.561370849609375,NA,NA
5,2014,167.261752837482,17494063,372,4.654142405222023,236.66,105.71,7.64,NA,398.3529357910156,98.82386016845703,NA,NA
5,2015,160.458290158192,17537769,735,4.469524505222829,244.39,62.51,8.45,NA,413.1702575683594,103.31885528564453,NA,NA
5,2016,147.873346782596,17328097,855,5.322822974002743,236.02,45.94,8.89,46.92762997000001,434.5872497558594,105.0079345703125,45.02525329589844,231.58395385742187
5,2017,156.990248638299,17685968,694,4.492183861637964,235.04,49.89,7.37,81.53472215999996,451.2973937988281,106.16520690917969,83.522491455078125,296.05322265625
5,2018,162.578199028044,17943194,671,4.137136215657528,236.83,73.43,6.67,110.5382615899999,483.0115966796875,105.09361267089844,147.4528045654297,357.4914245605469
5,2019,162.404043745754,18009165,619,4.44807524199484,243.24,66.83,8.62,100.21964823999996,501.4267578125,105.48399353027344,69.5135269165039,373.0965576171875
6,2012,150.277816735333,16072842,892,5.19982136402018,236.43,90.73,8.17,NA,312.3226013183594,92.93364715576172,NA,NA
6,2013,151.489245343632,16802240,665,4.88563705624644,236.3,99.74,8.17,NA,360.8152770996094,95.42301177978516,NA,NA
6,2014,167.323293051753,17494063,376,5.71570420823629,237.71,108.37,8.19,NA,397.9388122558594,98.92669677734375,NA,NA
6,2015,159.238915257793,17537769,824,5.57574089220953,243.98,61.31,8.7,NA,411.49322509765625,103.73992919921875,NA,NA
6,2016,148.588771680119,17328097,913,6.67614951464247,236.65,47.69,8.66,54.5,433.0332946777344,105.38475799560547,40.560001373291016,269.1099853515625
6,2017,156.577401043238,17685968,706,5.77761812941922,232.69,46.17,7.72,86.88792030000002,453.9160461425781,105.552734375,137.0318603515625,324.2204284667969
6,2018,162.972267074853,17943194,761,5.21242315176882,237.34,71.98,7.33,110.1554906299999,484.33978271484375,104.80541229248047,96.67585754394531,370.336181640625
6,2019,162.230656142256,18009165,580,5.57375897387969,243.55,59.76,8.02,93.76140053000002,501.6062316894531,105.44625091552734,135.72122192382812,385.1240539550781
7,2012,150.427695118199,16196959,852,4.63398325239907,236.22,96.75,8.17,NA,311.50885009765625,93.1764144897461,NA,NA
7,2013,152.791582177242,17131619,620,4.56866239167321,236.14,105.26,8.17,NA,360.8825988769531,95.40520477294922,NA,NA
7,2014,167.132976861541,17736022,415,3.896618918211693,237.96,105.23,8.21,NA,396.3401184082031,99.32573699951172,NA,NA
7,2015,157.77353472136,17492225,980,4.283005058269238,244.08,54.34,8.54,NA,411.82061767578125,103.65745544433594,NA,NA
7,2016,149.529254459014,17310908,877,5.202493756674234,236.42,44.13,8.67,49.300000000000004,433.4025573730469,105.29496765136719,58.54999923706055,250.42999267578125
7,2017,156.118097084924,17819405,673,4.1385564117553475,232.5,47.66,8.15,73.86136965999995,454.55499267578125,105.40436553955078,103.20619201660156,303.1461181640625
7,2018,163.04729641729801,18080826,603,4.026133126429318,237.73,72.67,7.48,111.52823357999986,484.3597412109375,104.80110168457031,141.9781494140625,358.5784606933594
7,2019,161.725447429645,18075353,603,4.855632141031821,243.71,61.48,8.26,97.45583720999994,501.14849853515625,105.54255676269531,113.09458923339844,406.6524658203125
7,2020,143.532867059558,16487573,2755,6.6370955459116745,243.24,42.07,9.12,73.40892705999998,519.36114501953125,104.97347259521484,266.45660400390625,338.9809875488281
8,2012,150.620963380978,16196959,791,4.63398325239907,236.51,105.27,8.17,NA,310.6122131347656,93.44538116455078,NA,NA
8,2013,154.451088490877,17131619,649,4.56866239167321,236.11,108.16,8.17,NA,360.2572326660156,95.57081604003906,NA,NA
8,2014,166.708225742263,17736022,316,4.66552862969705,237.76,100.05,8.16,NA,395.5118103027344,99.53375244140625,NA,NA
8,2015,156.073622830172,17492225,1344,5.48337361475656,244.2,45.69,8.06,NA,411.8260192871094,103.65609741210937,NA,NA
